Station,District,BuiltDate
849,용산구,2020-03-30
850,용산구,2020-03-28
851,용산구,2020-03-28
852,용산구,2020-03-28
853,용산구,2020-04-07
854,용산구,2020-04-05
855,용산구,2020-04-07
857,용산구,2020-04-07
858,용산구,2020-04-07
859,용산구,2020-04-05
860,용산구,2020-04-07
863,용산구,2020-04-07
864,용산구,2020-04-05
865,용산구,2020-04-05
866,용산구,2020-03-30
867,용산구,2020-04-07
868,용산구,2020-03-28
869,용산구,2020-04-03
870,용산구,2020-04-03
4602,용산구,2020-10-29
4604,용산구,2020-10-30
4605,용산구,2020-10-30
4616,용산구,2020-10-30
4617,용산구,2020-10-30
4618,용산구,2020-10-30
4627,용산구,2020-10-29
3511,성동구,2017-11-01
3513,성동구,2017-11-01
3514,성동구,2017-11-01
3515,성동구,2017-11-01
3525,성동구,2018-10-24
3527,성동구,2018-10-24
3530,성동구,2018-10-24
3531,성동구,2018-10-24
3532,성동구,2018-10-24
3538,성동구,2018-10-29
506,성동구,2015-10-07
507,성동구,2015-10-07
508,성동구,2015-10-07
509,성동구,2015-10-07
510,성동구,2015-10-07
511,성동구,2015-10-07
512,성동구,2015-10-07
513,성동구,2015-10-07
514,성동구,2015-10-07
518,성동구,2016-06-29
519,성동구,2016-06-29
520,성동구,2016-06-29
521,성동구,2016-06-29
522,성동구,2016-06-29
523,성동구,2016-06-29
524,성동구,2016-06-29
525,성동구,2016-06-29
526,성동구,2016-06-29
529,성동구,2016-06-29
530,성동구,2016-06-29
533,성동구,2016-06-29
534,성동구,2016-06-29
535,성동구,2016-06-29
536,성동구,2016-06-29
537,성동구,2016-06-29
538,성동구,2016-06-29
550,성동구,2021-01-25
556,성동구,2016-07-06
557,성동구,2016-07-06
558,성동구,2016-07-06
559,성동구,2016-07-06
560,성동구,2016-07-06
561,성동구,2016-07-06
562,성동구,2016-07-06
563,성동구,2016-07-06
564,성동구,2016-07-06
565,성동구,2016-07-06
567,성동구,2016-07-06
568,성동구,2016-07-06
569,성동구,2016-07-06
578,성동구,2016-07-06
579,성동구,2016-07-06
581,성동구,2016-07-06
582,성동구,2016-07-06
583,성동구,2016-07-06
583,성동구,2020-06-30
585,성동구,2016-09-02
586,성동구,2016-09-02
587,성동구,2016-09-20
589,성동구,2017-04-19
594,성동구,2017-08-28
3544,성동구,2020-04-13
3545,성동구,2020-04-13
3547,성동구,2020-04-14
3548,성동구,2020-06-05
3549,성동구,2020-05-11
3550,성동구,2020-04-16
3551,성동구,2020-04-14
3552,성동구,2020-04-13
3553,성동구,2020-04-14
3555,성동구,2020-04-14
3556,성동구,2020-04-15
3557,성동구,2020-04-13
3558,성동구,2020-04-14
3559,성동구,2020-04-13
3560,성동구,2020-04-14
3561,성동구,2020-04-14
3600,성동구,2020-07-03
4353,성동구,2020-11-03
4360,성동구,2020-11-03
4362,성동구,2020-11-03
3500,광진구,2017-11-01
3501,광진구,2017-11-01
3502,광진구,2017-11-01
3503,광진구,2017-11-01
3504,광진구,2017-11-01
3505,광진구,2017-11-01
3506,광진구,2017-11-01
3507,광진구,2017-11-01
3508,광진구,2017-11-01
3509,광진구,2020-09-24
3510,광진구,2018-03-23
3516,광진구,2017-11-28
3517,광진구,2017-11-28
3518,광진구,2017-11-28
3520,광진구,2018-02-26
3521,광진구,2018-02-26
3523,광진구,2018-04-16
3524,광진구,2018-04-09
3528,광진구,2018-10-29
3529,광진구,2018-10-31
3533,광진구,2018-10-29
3534,광진구,2018-10-29
3535,광진구,2018-10-29
3536,광진구,2018-10-29
3537,광진구,2018-10-29
3541,광진구,2018-11-14
3542,광진구,2018-11-14
500,광진구,2015-10-07
501,광진구,2015-10-07
502,광진구,2015-10-07
505,광진구,2015-10-07
515,광진구,2015-10-07
516,광진구,2015-10-07
539,광진구,2016-06-29
540,광진구,2016-06-29
542,광진구,2016-06-29
543,광진구,2020-09-02
544,광진구,2016-06-29
546,광진구,2016-06-29
548,광진구,2016-06-29
549,광진구,2016-06-29
551,광진구,2016-07-06
552,광진구,2016-07-06
553,광진구,2016-07-06
555,광진구,2016-07-06
571,광진구,2016-07-06
572,광진구,2016-07-06
573,광진구,2016-07-06
574,광진구,2016-07-06
575,광진구,2016-07-06
576,광진구,2016-07-06
577,광진구,2016-07-06
584,광진구,2016-09-02
588,광진구,
590,광진구,2017-08-30
591,광진구,2017-08-30
592,광진구,2017-08-30
593,광진구,2020-09-24
3543,광진구,2019-12-16
3563,광진구,2020-06-09
3564,광진구,2020-04-14
3566,광진구,2020-04-14
3569,광진구,2020-05-07
3570,광진구,2020-04-14
3571,광진구,2020-04-13
3573,광진구,2020-04-13
3575,광진구,2020-04-14
3578,광진구,2020-04-14
3579,광진구,2020-04-13
3581,광진구,2020-04-16
3582,광진구,2020-04-13
3586,광진구,2020-04-14
3587,광진구,2020-05-07
3588,광진구,2020-05-07
600,동대문구,2016-06-29
601,동대문구,2016-06-29
602,동대문구,2016-06-29
604,동대문구,2016-06-29
605,동대문구,2016-06-29
606,동대문구,2016-06-29
607,동대문구,2016-06-29
608,동대문구,2016-06-29
609,동대문구,2016-06-29
610,동대문구,2016-06-29
612,동대문구,2016-06-29
613,동대문구,2016-06-29
614,동대문구,2016-06-29
615,동대문구,2016-06-29
616,동대문구,2016-06-29
617,동대문구,2016-06-29
621,동대문구,2016-07-06
622,동대문구,2016-07-06
623,동대문구,2016-07-06
624,동대문구,2016-07-06
625,동대문구,2016-07-06
626,동대문구,2016-07-06
627,동대문구,2016-07-06
628,동대문구,2016-07-06
630,동대문구,2016-07-06
631,동대문구,2016-07-06
633,동대문구,2016-07-06
634,동대문구,2016-07-06
635,동대문구,2016-07-06
636,동대문구,2016-07-06
637,동대문구,2016-07-06
638,동대문구,2016-07-06
639,동대문구,2016-07-06
640,동대문구,2016-07-06
641,동대문구,2016-07-06
642,동대문구,2020-06-18
643,동대문구,2016-07-06
646,동대문구,2017-11-28
647,동대문구,2017-11-28
648,동대문구,2017-11-28
650,동대문구,2017-11-28
652,동대문구,2018-11-04
654,동대문구,2017-11-28
656,동대문구,2018-10-22
657,동대문구,2018-10-22
658,동대문구,2018-10-22
659,동대문구,2018-10-22
660,동대문구,2018-10-22
661,동대문구,2018-08-30
663,동대문구,2018-12-14
664,동대문구,2019-11-20
665,동대문구,2020-04-19
666,동대문구,2020-04-21
667,동대문구,2020-04-19
668,동대문구,2020-04-22
669,동대문구,2020-04-19
670,동대문구,2020-04-22
671,동대문구,2020-03-27
